date,week,meal,product,M,P,F,C,FBR,SGR,K,Pg,Fg,Cg,FBRg,SGRg,Kcal
07.01.2020,20_2,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
07.01.2020,20_2,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
07.01.2020,20_2,1,манго,130,"0,8","0,4",15,,,60,"1,04","0,52","19,5",0,0,78
08.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
08.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
08.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
08.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
08.01.2020,20_2,1,кешью,21,18,44,30,,,553,"3,78","9,24","6,3",0,0,"116,13"
08.01.2020,20_2,1,подушечки витьба,5,6,20,59,,,430,"0,3",1,"2,95",0,0,"21,5"
08.01.2020,20_2,1,Яйцо белок,245,"11,1",0,1,0,0,46,"27,195",0,"2,45",0,0,"112,7"
08.01.2020,20_2,1,Яйцо желток,15,"16,2","31,2","3,6",0,0,354,"2,43","4,68","0,54",0,0,"53,1"
08.01.2020,20_2,1,гречка вар,200,4,1,20,"2,938090241",0,100,8,2,40,"5,876180483",0,200
08.01.2020,20_2,1,говядина,120,"25,8","16,8",0,0,0,254,"30,96","20,16",0,0,0,"304,8"
08.01.2020,20_2,1,гречка вар,400,4,1,20,"2,938090241",0,100,16,4,80,"11,75236097",0,400
08.01.2020,20_2,1,помидор,260,"0,9","0,2","3,9","1,2","2,63",18,"2,34","0,52","10,14","3,12","6,838","46,8"
08.01.2020,20_2,1,мандарин,100,"0,8","0,3",13,,,53,"0,8","0,3",13,0,0,53
08.01.2020,20_2,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
08.01.2020,20_2,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
08.01.2020,20_2,1,Шоколад молочный,20,"8,1",55,31,,,542,"1,62",11,"6,2",0,0,"108,4"
08.01.2020,20_2,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
08.01.2020,20_2,1,грудка,25,31,"3,6",0,0,0,165,"7,75","0,9",0,0,0,"41,25"
08.01.2020,20_2,1,мед,10,"0,5","0,2",80,0,80,330,"0,05","0,02",8,0,8,33
08.01.2020,20_2,1,подушечки витьба,4,6,20,59,,,430,"0,24","0,8","2,36",0,0,"17,2"
09.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
09.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
09.01.2020,20_2,1,Президент 85,20,"10,3",52,24,13,2,607,"2,06","10,4","4,8","2,6","0,4","121,4"
09.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
09.01.2020,20_2,1,кешью,10,18,44,30,,,553,"1,8","4,4",3,0,0,"55,3"
09.01.2020,20_2,1,авокадо,30,2,15,9,0,0,160,"0,6","4,5","2,7",0,0,48
09.01.2020,20_2,1,макароны вар 150/320,500,7,1,32,,,163,35,5,160,0,0,815
09.01.2020,20_2,1,Яйцо белок,157,"11,1",0,1,0,0,46,"17,427",0,"1,57",0,0,"72,22"
09.01.2020,20_2,1,Яйцо желток,30,"16,2","31,2","3,6",0,0,354,"4,86","9,36","1,08",0,0,"106,2"
09.01.2020,20_2,1,говядина нежирная,100,"25,7","8,1","0,2",0,0,175,"25,7","8,1","0,2",0,0,175
09.01.2020,20_2,1,салат горошек,100,8,6,7,,,109,8,6,7,0,0,109
09.01.2020,20_2,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
09.01.2020,20_2,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
09.01.2020,20_2,1,мандарин,100,"0,8","0,3",13,,,53,"0,8","0,3",13,0,0,53
09.01.2020,20_2,1,подушечки витьба,5,6,20,59,,,430,"0,3",1,"2,95",0,0,"21,5"
10.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
10.01.2020,20_2,1,Exponenta,250,"10,4",0,"2,5",0,0,52,26,0,"6,25",0,0,130
10.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
10.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
10.01.2020,20_2,1,авокадо,10,2,15,9,0,0,160,"0,2","1,5","0,9",0,0,16
10.01.2020,20_2,1,рис бур вар,600,3,1,26,,,120,18,6,156,0,0,720
10.01.2020,20_2,1,минтай,230,23,"1,2",0,,,111,"52,9","2,76",0,0,0,"255,3"
10.01.2020,20_2,1,Яйцо белок,183,"11,1",0,1,0,0,46,"20,313",0,"1,83",0,0,"84,18"
10.01.2020,20_2,1,Яйцо желток,15,"16,2","31,2","3,6",0,0,354,"2,43","4,68","0,54",0,0,"53,1"
10.01.2020,20_2,1,кешью,15,18,44,30,,,553,"2,7","6,6","4,5",0,0,"82,95"
10.01.2020,20_2,1,миндаль,10,21,49,22,,,576,"2,1","4,9","2,2",0,0,"57,6"
10.01.2020,20_2,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
10.01.2020,20_2,1,апельсин,120,"0,9","0,1",12,3,9,47,"1,08","0,12","14,4","3,6","10,8","56,4"
10.01.2020,20_2,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
10.01.2020,20_2,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
10.01.2020,20_2,1,Шоколад молочный,20,"8,1",55,31,,,542,"1,62",11,"6,2",0,0,"108,4"
10.01.2020,20_2,1,творог 1,200,18,1,"1,3",0,0,86,36,2,"2,6",0,0,172
11.01.2020,20_2,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
11.01.2020,20_2,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
11.01.2020,20_2,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
11.01.2020,20_2,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
11.01.2020,20_2,1,кешью,40,18,44,30,,,553,"7,2","17,6",12,0,0,"221,2"
11.01.2020,20_2,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
11.01.2020,20_2,1,грудка,300,31,"3,6",0,0,0,165,93,"10,8",0,0,0,495
11.01.2020,20_2,1,Квашеная капуста,118,"0,9","0,1","4,3",,,19,"1,062","0,118","5,074",0,0,"22,42"
11.01.2020,20_2,1,кукуруза bond,30,"2,87","0,6","9,9",,,57,"0,861","0,18","2,97",0,0,"17,1"
11.01.2020,20_2,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
11.01.2020,20_2,1,мандарин,200,"0,8","0,3",13,,,53,"1,6","0,6",26,0,0,106
11.01.2020,20_2,1,зефир,8,"0,8","0,1",80,,,326,"0,064","0,008","6,4",0,0,"26,08"
11.01.2020,20_2,1,подушечки витьба,5,6,20,59,,,430,"0,3",1,"2,95",0,0,"21,5"
11.01.2020,20_2,1,сухари,5,"10,3","3,8","80,8",,,391,"0,515","0,19","4,04",0,0,"19,55"
12.01.2020,20_3,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
12.01.2020,20_3,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
12.01.2020,20_3,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
12.01.2020,20_3,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
12.01.2020,20_3,1,Банан,120,"1,1","0,3",23,"2,6",12,89,"1,32","0,36","27,6","3,12","14,4","106,8"
12.01.2020,20_3,1,сухари,60,"10,3","3,8","80,8",,,391,"6,18","2,28","48,48",0,0,"234,6"
12.01.2020,20_3,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
12.01.2020,20_3,1,Яйцо белок,160,"11,1",0,1,0,0,46,"17,76",0,"1,6",0,0,"73,6"
12.01.2020,20_3,1,запеканка,70,13,5,14,,,147,"9,1","3,5","9,8",0,0,"102,9"
12.01.2020,20_3,1,гречка вар,450,4,1,20,"2,938090241",0,100,18,"4,5",90,"13,22140609",0,450
12.01.2020,20_3,1,Свинина пост,200,"19,4","7,1",0,0,0,160,"38,8","14,2",0,0,0,320
12.01.2020,20_3,1,сыр,30,"22,5",28,0,0,0,342,"6,75","8,4",0,0,0,"102,6"
12.01.2020,20_3,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
12.01.2020,20_3,1,апельсин,25,"0,9","0,1",12,3,9,47,"0,225","0,025",3,"0,75","2,25","11,75"
12.01.2020,20_3,1,морковь,60,"0,9","0,2",10,"2,8","4,53",41,"0,54","0,12",6,"1,68","2,718","24,6"
13.01.2020,20_3,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
13.01.2020,20_3,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
13.01.2020,20_3,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
13.01.2020,20_3,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
13.01.2020,20_3,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
13.01.2020,20_3,1,Свинина пост,115,"19,4","7,1",0,0,0,160,"22,31","8,165",0,0,0,184
13.01.2020,20_3,1,сыр,20,"22,5",28,0,0,0,342,"4,5","5,6",0,0,0,"68,4"
13.01.2020,20_3,1,грудка,200,31,"3,6",0,0,0,165,62,"7,2",0,0,0,330
13.01.2020,20_3,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
13.01.2020,20_3,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
13.01.2020,20_3,1,Шоколад молочный,20,"8,1",55,31,,,542,"1,62",11,"6,2",0,0,"108,4"
13.01.2020,20_3,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
13.01.2020,20_3,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
13.01.2020,20_3,1,мандарин,80,"0,8","0,3",13,,,53,"0,64","0,24","10,4",0,0,"42,4"
13.01.2020,20_3,1,запеканка,60,13,5,14,,,147,"7,8",3,"8,4",0,0,"88,2"
14.01.2020,20_3,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
14.01.2020,20_3,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
14.01.2020,20_3,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
14.01.2020,20_3,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
14.01.2020,20_3,1,сухари,10,"10,3","3,8","80,8",,,391,"1,03","0,38","8,08",0,0,"39,1"
14.01.2020,20_3,1,рис бур вар,600,3,1,26,,,120,18,6,156,0,0,720
14.01.2020,20_3,1,лосось запеченый,130,"16,29","14,03","0,12",,,200,"21,177","18,239","0,156",0,0,260
14.01.2020,20_3,1,грудка,170,31,"3,6",0,0,0,165,"52,7","6,12",0,0,0,"280,5"
14.01.2020,20_3,1,помидор,400,"0,9","0,2","3,9","1,2","2,63",18,"3,6","0,8","15,6","4,8","10,52",72
14.01.2020,20_3,1,морковь,50,"0,9","0,2",10,"2,8","4,53",41,"0,45","0,1",5,"1,4","2,265","20,5"
14.01.2020,20_3,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
14.01.2020,20_3,1,курага,30,"3,4","0,5",63,,,241,"1,02","0,15","18,9",0,0,"72,3"
14.01.2020,20_3,1,кешью,15,18,44,30,,,553,"2,7","6,6","4,5",0,0,"82,95"
15.01.2020,20_3,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
15.01.2020,20_3,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
15.01.2020,20_3,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
15.01.2020,20_3,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
15.01.2020,20_3,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
15.01.2020,20_3,1,грудка,300,31,"3,6",0,0,0,165,93,"10,8",0,0,0,495
15.01.2020,20_3,1,творог 1,220,18,1,"1,3",0,0,86,"39,6","2,2","2,86",0,0,"189,2"
15.01.2020,20_3,1,помидор,365,"0,9","0,2","3,9","1,2","2,63",18,"3,285","0,73","14,235","4,38","9,5995","65,7"
15.01.2020,20_3,1,мандарин,120,"0,8","0,3",13,,,53,"0,96","0,36","15,6",0,0,"63,6"
15.01.2020,20_3,1,Банан,150,"1,1","0,3",23,"2,6",12,89,"1,65","0,45","34,5","3,9",18,"133,5"
15.01.2020,20_3,1,bcaa ON,12,53,0,32,0,0,337,"6,36",0,"3,84",0,0,"40,44"
15.01.2020,20_3,1,масло оливковое,6,0,92,0,0,0,824,0,"5,52",0,0,0,"49,44"
15.01.2020,20_3,1,кешью,15,18,44,30,,,553,"2,7","6,6","4,5",0,0,"82,95"
15.01.2020,20_3,1,миндаль,10,21,49,22,,,576,"2,1","4,9","2,2",0,0,"57,6"
15.01.2020,20_3,1,морковь,71,"0,9","0,2",10,"2,8","4,53",41,"0,639","0,142","7,1","1,988","3,2163","29,11"
15.01.2020,20_3,1,Шоколад молочный,20,"8,1",55,31,,,542,"1,62",11,"6,2",0,0,"108,4"
16.01.2020,20_3,1,Овсянка,80,13,6,63,9,0,360,"10,4","4,8","50,4","7,2",0,288
16.01.2020,20_3,1,Exponenta 30,250,12,0,"2,5",0,0,60,30,0,"6,25",0,0,150
16.01.2020,20_3,1,Президент 85,15,"10,3",52,24,13,2,607,"1,545","7,8","3,6","1,95","0,3","91,05"
16.01.2020,20_3,1,сыр,50,"22,5",28,0,0,0,342,"11,25",14,0,0,0,171
16.01.2020,20_3,1,сухари,17,"10,3","3,8","80,8",,,391,"1,751","0,646","13,736",0,0,"66,47"
16.01.2020,20_3,1,гречка вар,600,4,1,20,"2,938090241",0,100,24,6,120,"17,62854145",0,600
16.01.2020,20_3,1,грудка,300,31,"3,6",0,0,0,165,93,"10,8",0,0,0,495
16.01.2020,20_3,1,творог 2,200,16,2,"1,3",,,88,32,4,"2,6",0,0,176
16.01.2020,20_3,1,Яблоко,170,"0,3","0,2",14,2,"8,74",52,"0,51","0,34","23,8","3,4","14,858","88,4"
16.01.2020,20_3,1,морковь,70,"0,9","0,2",10,"2,8","4,53",41,"0,63","0,14",7,"1,96","3,171","28,7"
16.01.2020,20_3,1,мандарин,130,"0,8","0,3",13,,,53,"1,04","0,39","16,9",0,0,"68,9"
16.01.2020,20_3,1,кешью,20,18,44,30,,,553,"3,6","8,8",6,0,0,"110,6"
16.01.2020,20_3,1,миндаль,20,21,49,22,,,576,"4,2","9,8","4,4",0,0,"115,2"
